Lat,Long
33.55554728,-86.89506300000002
33.34835867,-112.4918154
34.77054088,-92.31355101
34.30828379,-118.2282411
39.76018276,-104.8725695
41.26809896,-73.3881171
39.57992638,-75.64054974
25.6112362,-80.55170587
33.79216944,-84.46319413
43.4526575,-116.24155159999998
41.84144849,-87.81658794
39.78163624,-86.13826325
41.68679484,-93.57767461
38.88548175,-94.82250877
38.18664655,-85.65931031
30.53842039,-91.09777565
43.8370751,-70.37226999
39.13676329,-77.20358245
42.48607732,-71.39049229
42.28098405,-83.281255
45.00761521,-93.47694895
32.2656285,-90.44435448
38.63770039999999,-90.4458375
45.93955949,-108.2691486
41.29518299,-96.15085305
36.21458855,-115.0130241
42.91537785,-71.7200253
40.96010917,-74.07164325
35.05163625,-106.6703554
40.6361825,-73.94935552
35.78879266,-78.65249174
46.93201724,-97.2444719
39.96995815,-83.01115755
35.55140095,-97.40716948
45.54747959,-122.4169351
40.00338507,-75.1379271
41.87064746,-71.57753536
34.89502264,-82.37295012
43.67441641,-96.7910885
35.1864775,-89.89692423
29.85864939,-95.39339521
40.66616532,-111.9216011
44.46322849,-73.08359212
38.83677558,-77.27565836
47.49137892,-121.8346131
38.33860077,-81.52857054
43.00486062,-87.96733172
41.30702520000001,-104.6887497
