County,State,Age.Percent 65 and Older,Income.Per Capita Income
Bethel Census Area,AK,7.9,19885
Bexar County,TX,12.4,27834
Bibb County,AL,16.7,20778
Bibb County,GA,16,25640
Bienville Parish,LA,21.7,21491
Big Horn County,MT,13.3,18934
Big Horn County,WY,21.9,24693
Big Stone County,MN,26.8,29459
Billings County,ND,22.7,42071
Bingham County,ID,14.5,23059
Black Hawk County,IA,16.9,30563
Blackford County,IN,21.9,24302
Bladen County,NC,22.8,23440
Blaine County,ID,20.3,33645
Blaine County,MT,15.8,19258
Blaine County,NE,26.9,25097
Blaine County,OK,20.2,25851
Blair County,PA,21.3,28119
Blanco County,TX,25.2,37998
Bland County,VA,23.6,22522
Bleckley County,GA,17.1,20458
Bledsoe County,TN,18.8,21700
Blount County,AL,18.7,24747
Blount County,TN,20.6,30548
Blue Earth County,MN,14.2,29677
Boise County,ID,26.3,31975
Bolivar County,MS,16.3,18843
Bollinger County,MO,21.1,21340
Bon Homme County,SD,20.8,24131
Bond County,IL,19.4,28119
Bonner County,ID,25.4,27918
Bonneville County,ID,13.5,28671
Boone County,AR,20.9,24727
Boone County,IA,19,32889
Boone County,IL,16.1,31943
Boone County,IN,13.8,48295
Boone County,KY,14.1,35991
Boone County,MO,12.8,30415
Boone County,NE,23.4,33027
Boone County,WV,20.9,21751
Borden County,TX,26.6,34028
Bosque County,TX,25.4,26636
Bossier Parish,LA,14.9,28766
Botetourt County,VA,23.3,35893
Bottineau County,ND,24.5,35655
Boulder County,CO,14.8,46826
Boundary County,ID,23.1,25782
Bourbon County,KS,20.2,23102
Bourbon County,KY,19.7,27802
Bowie County,TX,17,27095
Bowman County,ND,22.2,34880
Box Butte County,NE,19.3,28156
Box Elder County,UT,13.2,24797
Boyd County,KY,20,26193
Boyd County,NE,31,29871
Boyle County,KY,19.6,26413
Bracken County,KY,17.2,24124
Bradford County,FL,18,20529
Bradford County,PA,21.9,28392
Bradley County,AR,19.2,22945
Bradley County,TN,17.3,26655
Branch County,MI,18.7,25279
Brantley County,GA,17.2,20191
Braxton County,WV,23.7,22269
Brazoria County,TX,12.2,34561
Brazos County,TX,9.5,27632
Breathitt County,KY,17.7,19053
Breckinridge County,KY,19.8,23286
Bremer County,IA,19.9,32814
Brevard County,FL,24.2,32176
Brewster County,TX,24.2,28915
Briscoe County,TX,26.1,23933
Bristol Bay Borough,AK,16.3,44168
Bristol County,MA,17.3,35747
Bristol County,RI,20.2,46566
Bristol city,VA,20.4,23015
Broadwater County,MT,24,31631
Bronx County,NY,13.3,21778
Brooke County,WV,24.6,26678
Brookings County,SD,12.5,28330
Brooks County,GA,20,25700
Brooks County,TX,18.4,14523
Broome County,NY,19.4,28699
Broomfield County,CO,14.3,50863
Broward County,FL,17.1,32909
Brown County,IL,14.1,23070
Brown County,IN,25.4,34372
Brown County,KS,20.7,25208
Brown County,MN,21.3,31237
Brown County,NE,27,30674
Brown County,OH,18.3,26696
Brown County,SD,17.9,33122
Brown County,TX,20.4,27463
Brown County,WI,15.4,32874
Brule County,SD,19.7,31874
Brunswick County,NC,32.6,33312
Brunswick County,VA,21.8,21732
Bryan County,GA,10.7,31623
Bryan County,OK,18,23979
Buchanan County,IA,18.3,33373
Buchanan County,MO,16.7,26347
Buchanan County,VA,23.1,19496
Buckingham County,VA,20.2,20605
Bucks County,PA,19.2,45849
Buena Vista County,IA,16.7,26526
Buena Vista city,VA,18.4,21419
Buffalo County,NE,15,31043
Buffalo County,SD,7.5,11995
Buffalo County,WI,22.8,30503
Bullitt County,KY,16.2,29333
Bulloch County,GA,11.6,22328
Bullock County,AL,16.9,20877
Buncombe County,NC,20.5,32426
Bureau County,IL,22.5,30255
Burke County,GA,16,22173
Burke County,NC,20.7,24481
Burke County,ND,21.2,39350
Burleigh County,ND,16.6,38804
Burleson County,TX,21,30086
Burlington County,NJ,17.4,43187
Burnet County,TX,22.8,30980
Burnett County,WI,29.4,30342
Burt County,NE,24.4,31635
Butler County,AL,20.8,21038
Butler County,IA,22.9,30036
Butler County,KS,15.7,29986
Butler County,KY,18.8,22951
