County,State,Age.Percent 65 and Older,Income.Per Capita Income
Ellsworth County,KS,21.3,26443
Elmore County,AL,15.6,29052
Elmore County,ID,14.1,23028
Emanuel County,GA,16.5,19389
Emery County,UT,17.7,23705
Emmet County,IA,21.6,28651
Emmet County,MI,23.3,34074
Emmons County,ND,28.1,33088
Emporia city,VA,16.8,18494
Erath County,TX,14.7,27639
Erie County,NY,18.4,33598
Erie County,OH,22.6,32790
Erie County,PA,18.6,28306
Escambia County,AL,18.3,19028
Escambia County,FL,17.1,28022
Esmeralda County,NV,35.7,25849
Essex County,MA,17.6,42347
Essex County,NJ,13.9,38722
Essex County,NY,24.3,31667
Essex County,VA,23.7,26847
Essex County,VT,26.5,25376
Estill County,KY,19.2,17746
Etowah County,AL,19.4,24883
Eureka County,NV,16.4,34249
Evangeline Parish,LA,15.8,18770
Evans County,GA,16.3,20725
Fairbanks North Star Borough,AK,11.2,37025
Fairfax County,VA,14,56231
Fairfax city,VA,14.9,50029
Fairfield County,CT,16.3,57263
Fairfield County,OH,16.1,32021
Fairfield County,SC,22.4,23380
Fall River County,SD,29.9,27556
Fallon County,MT,17,37024
Falls Church city,VA,12.9,72325
Falls County,TX,18.7,18745
Fannin County,GA,30.6,27940
Fannin County,TX,18.6,27112
Faribault County,MN,23.2,29991
Faulk County,SD,23.6,27569
Faulkner County,AR,12.9,26913
Fauquier County,VA,16.9,45408
Fayette County,AL,21.7,22483
Fayette County,GA,18.7,44061
Fayette County,IA,21.5,28643
Fayette County,IL,19.4,23194
Fayette County,IN,20.5,24015
Fayette County,KY,13.9,34442
Fayette County,OH,18.3,26079
Fayette County,PA,21.7,27368
Fayette County,TN,22.1,33383
Fayette County,TX,26.4,30170
Fayette County,WV,21.8,21914
Fentress County,TN,22.4,20093
Fergus County,MT,25.2,30529
Ferry County,WA,28.2,25857
Fillmore County,MN,21.2,30392
Fillmore County,NE,23.1,34483
Finney County,KS,11.4,24152
Fisher County,TX,25.1,28750
Flagler County,FL,31.2,29383
Flathead County,MT,20.2,31694
Fleming County,KY,18,23593
Florence County,SC,17.4,26127
Florence County,WI,27.1,32348
Floyd County,GA,17,25776
Floyd County,IA,22.2,29622
Floyd County,IN,16.5,33478
Floyd County,KY,18.8,19471
Floyd County,TX,18.7,23617
Floyd County,VA,23.5,26882
Fluvanna County,VA,20.5,39633
Foard County,TX,27.3,27573
Fond du Lac County,WI,19,31653
Ford County,IL,19.3,28957
Ford County,KS,11.3,23293
Forest County,PA,22.8,15245
Forest County,WI,23.1,25700
Forrest County,MS,13.9,22534
Forsyth County,GA,12.4,43832
Forsyth County,NC,16.4,30769
Fort Bend County,TX,11.6,39994
Foster County,ND,22.6,35299
Fountain County,IN,20.3,28058
Franklin County,AL,17.1,21641
Franklin County,AR,19.9,20480
Franklin County,FL,24.1,26574
Franklin County,GA,19.2,23187
Franklin County,IA,21.4,29546
Franklin County,ID,14.6,24185
Franklin County,IL,20.9,24098
Franklin County,IN,19,29166
Franklin County,KS,17,26998
Franklin County,KY,18.4,30711
Franklin County,MA,23.1,35908
Franklin County,ME,22.7,27252
Franklin County,MO,18,30278
Franklin County,MS,20.8,23067
Franklin County,NC,17.1,27294
Franklin County,NE,28.3,28365
Franklin County,NY,17.4,25406
Franklin County,OH,12.4,33998
Franklin County,PA,20.1,31221
Franklin County,TN,20.3,28317
Franklin County,TX,22.1,28789
Franklin County,VA,24.2,30487
Franklin County,VT,16.7,31195
Franklin County,WA,9.7,24380
Franklin Parish,LA,18.4,19206
Franklin city,VA,19.3,24025
Frederick County,MD,14.8,43582
Frederick County,VA,17.8,35123
Fredericksburg city,VA,10.8,35731
Freeborn County,MN,22.5,29316
Freestone County,TX,20.3,24621
Fremont County,CO,22.1,22692
Fremont County,IA,23.4,29261
Fremont County,ID,17.5,23577
Fremont County,WY,18.8,28324
Fresno County,CA,12.6,24422
Frio County,TX,12.3,19256
Frontier County,NE,24.2,28899
Fulton County,AR,26,19697
Fulton County,GA,12,47163
Fulton County,IL,21.2,27741
Fulton County,IN,19.9,26427
Fulton County,KY,20.7,18247
Fulton County,NY,20.1,27443
Fulton County,OH,18.4,29600
Fulton County,PA,22,27396
Furnas County,NE,25.3,27021
Gadsden County,FL,18.7,20734
Gage County,NE,21.1,29565
Gaines County,TX,8.9,23533
Galax city,VA,22.4,23025
Gallatin County,IL,24.4,33377
Gallatin County,KY,14.2,23638
Gallatin County,MT,13.1,36924
Gallia County,OH,19.3,24130
Galveston County,TX,14.9,36819
Garden County,NE,29,35050
Garfield County,CO,13.8,33393
Garfield County,MT,24.1,28541
Garfield County,NE,29.2,29146
Garfield County,OK,16.5,28333
Garfield County,UT,24,25247
Garfield County,WA,25.3,26742
Garland County,AR,24.3,27171
Garrard County,KY,18.4,26272
Garrett County,MD,23.1,30617
Garvin County,OK,18.2,24880
Garza County,TX,11.5,19997
Gasconade County,MO,23.1,28617
Gaston County,NC,16.3,27352
Gates County,NC,20.9,25846
Geary County,KS,9,23897
Geauga County,OH,21.1,42958
Gem County,ID,22,22661
Genesee County,MI,18,27295
Genesee County,NY,19.3,30511
Geneva County,AL,20.6,21711
Gentry County,MO,19.9,24269
George County,MS,14.6,22732
Georgetown County,SC,28.6,31382
Gibson County,IN,17.8,28076
Gibson County,TN,18.3,23211
Gila County,AZ,29.4,24251
Gilchrist County,FL,20.7,21578
Giles County,TN,20.5,25690
Giles County,VA,22.4,27137
Gillespie County,TX,30.1,34077
Gilliam County,OR,27.6,26482
Gilmer County,GA,25.5,27282
Gilmer County,WV,17.7,18067
Gilpin County,CO,17.8,49641
Glacier County,MT,12.6,18043
Glades County,FL,27.6,21953
Gladwin County,MI,27.1,25657
Glascock County,GA,18.3,23541
Glasscock County,TX,14.9,31830
Glenn County,CA,15.8,22668
Gloucester County,NJ,16.3,39337
Gloucester County,VA,19.6,33692
Glynn County,GA,21.1,33848
Gogebic County,MI,28.6,25555
Golden Valley County,MT,27.8,30790
Golden Valley County,ND,25.6,33111
Goliad County,TX,23.9,29855
Gonzales County,TX,17.1,27407
Goochland County,VA,22.9,51720
Goodhue County,MN,20.1,34803
Gooding County,ID,17.9,23607
Gordon County,GA,15.3,24092
Goshen County,WY,22.3,28554
Gosper County,NE,24.5,37565
Gove County,KS,24.2,28859
Grady County,GA,18.5,22543
Grady County,OK,16.7,30242
Grafton County,NH,21.3,37750
Graham County,AZ,14,18683
Graham County,KS,28,27236
Graham County,NC,24.5,20323
Grainger County,TN,20.9,23595
Grand County,CO,18.5,37876
Grand County,UT,19.4,27431
Grand Forks County,ND,13.3,32153
Grand Isle County,VT,21.5,39770
Grand Traverse County,MI,20.8,35405
Granite County,MT,31.6,30752
Grant County,AR,18.5,28153
Grant County,IN,19.4,23046
Grant County,KS,14.6,25411
Grant County,KY,14,23721
Grant County,MN,24,32871
Grant County,ND,30.6,34786
Grant County,NE,22.8,23264
Grant County,NM,28.6,25590
Grant County,OK,22.3,28815
Grant County,OR,31.4,27367
Grant County,SD,21.4,31479
Grant County,WA,14,24280
Grant County,WI,17.7,25892
Grant County,WV,25.1,23351
Grant Parish,LA,15.5,18801
Granville County,NC,17.7,27131
Gratiot County,MI,17.8,23616
Graves County,KY,18.8,24750
Gray County,KS,15.5,29421
Gray County,TX,16.1,24686
Grays Harbor County,WA,22.3,27210
Grayson County,KY,18.1,21231
Grayson County,TX,17.8,28011
Grayson County,VA,25.3,21663
Greeley County,KS,19.7,28982
Greeley County,NE,25.3,26553
Green County,KY,21.1,22506
Green County,WI,19.3,33459
Green Lake County,WI,22.8,29207
Greenbrier County,WV,23.5,24581
Greene County,AL,23.3,14884
Greene County,AR,16.3,23494
Greene County,GA,29.3,37818
Greene County,IA,22.5,28451
Greene County,IL,20,25414
Greene County,IN,19.8,25453
Greene County,MO,16.8,27525
Greene County,MS,15.3,16006
Greene County,NC,17,19168
Greene County,NY,22.7,28433
Greene County,OH,17.5,35833
Greene County,PA,19.4,27783
Greene County,TN,22.1,25190
Greene County,VA,17.8,32508
Greenlee County,AZ,13.7,25780
Greensville County,VA,15.3,19550
Greenup County,KY,21.3,27722
Greenville County,SC,16.1,32679
Greenwood County,KS,25.4,27500
Greenwood County,SC,18.9,24752
Greer County,OK,17.8,18907
Gregg County,TX,15.7,26535
Gregory County,SD,25.8,26546
Grenada County,MS,18.1,23135
Griggs County,ND,30.3,34882
Grimes County,TX,17.8,25638
Grundy County,IA,21.2,36231
Grundy County,IL,14.6,35208
Grundy County,MO,22.4,23497
Grundy County,TN,21,20592
Guadalupe County,NM,19.8,17420
Guadalupe County,TX,14.2,31842
Guernsey County,OH,20.1,24742
Guilford County,NC,15.5,30767
Gulf County,FL,26.5,23252
Gunnison County,CO,13.7,32191
Guthrie County,IA,22.8,31128
Gwinnett County,GA,10.5,30636
Haakon County,SD,25.3,24333
Habersham County,GA,18.8,23046
Haines Borough,AK,21.7,31731
Hale County,AL,19.7,21191
Hale County,TX,13.8,20986
Halifax County,NC,21.4,21848
Halifax County,VA,24.8,23909
Hall County,GA,15.4,29680
Hall County,NE,15.1,28359
Hall County,TX,24,21907
Hamblen County,TN,18.5,23517
Hamilton County,FL,18.5,16136
Hamilton County,IA,21,30127
Hamilton County,IL,22.4,27702
Hamilton County,IN,12.8,49287
Hamilton County,KS,14.5,22003
Hamilton County,NE,20.4,32131
Hamilton County,NY,31.9,24851
Hamilton County,OH,15.7,35570
Hamilton County,TN,17.9,32839
Hamilton County,TX,25.4,26930
Hamlin County,SD,15.5,28822
Hampden County,MA,17.3,30346
Hampshire County,MA,17.9,34838
Hampshire County,WV,23.4,24259
Hampton County,SC,18.8,18424
Hampton city,VA,15,30135
Hancock County,GA,23.8,16704
Hancock County,IA,22.8,30309
Hancock County,IL,23.5,28576
Hancock County,IN,16.5,34119
Hancock County,KY,17.7,24830
Hancock County,ME,25.3,34361
Hancock County,MS,20.7,27462
Hancock County,OH,17.7,32797
Hancock County,TN,21.7,23728
Hancock County,WV,23.7,26435
Hand County,SD,25.7,33200
Hanover County,VA,18.4,41200
Hansford County,TX,15,20410
Hanson County,SD,15.5,24948
Haralson County,GA,16.2,25074
Hardee County,FL,17.4,17754
Hardeman County,TN,18.6,18172
Hardeman County,TX,23.2,24078
Hardin County,IA,22.6,28770
Hardin County,IL,26.7,28932
Hardin County,KY,14.4,28606
Hardin County,OH,16.3,23383
Hardin County,TN,23.3,24243
Hardin County,TX,16.9,30399
Harding County,NM,39.2,34721
Harding County,SD,18.2,31819
Hardy County,WV,22.5,27004
Harford County,MD,16.6,41147
Harlan County,KY,19.2,16468
Harlan County,NE,27.3,28919
Harmon County,OK,20.1,26045
Harnett County,NC,12.8,23767
Harney County,OR,24.9,26370
Harper County,KS,23.5,24800
Harper County,OK,19.6,24130
Harris County,GA,19.3,36273
Harris County,TX,10.9,32765
Harrison County,IA,19.9,32443
Harrison County,IN,18.1,28119
Harrison County,KY,18.1,24154
Harrison County,MO,22.8,22032
Harrison County,MS,15.4,25415
Harrison County,OH,21.8,24940
Harrison County,TX,17.4,27086
Harrison County,WV,19.8,28879
Harrisonburg city,VA,9,23202
Hart County,GA,22.1,23181
Hart County,KY,16.7,20742
Hartford County,CT,17.4,40540
Hartley County,TX,15.4,20563
Harvey County,KS,19.8,28226
Haskell County,KS,15.6,26814
Haskell County,OK,20.4,22074
Haskell County,TX,22.4,20394
Hawaii County,HI,21.9,30542
Hawkins County,TN,21.7,24695
Hayes County,NE,28,31286
Hays County,TX,11.4,32118
Haywood County,NC,25,30490
Haywood County,TN,19.7,21839
Heard County,GA,18.3,22714
Hemphill County,TX,15.9,31530
Hempstead County,AR,18.5,21521
Henderson County,IL,25.4,28950
Henderson County,KY,18.3,26212
Henderson County,NC,26.4,31564
Henderson County,TN,18.9,22695
Henderson County,TX,22.4,26121
Hendricks County,IN,14.2,36569
Hendry County,FL,13.8,19167
Hennepin County,MN,14.5,45768
Henrico County,VA,15.9,39516
Henry County,AL,23.4,25276
Henry County,GA,11.9,29889
Henry County,IA,19.5,26408
Henry County,IL,20.9,30345
Henry County,IN,19.3,24687
Henry County,KY,18,25202
Henry County,MO,22.1,26944
Henry County,OH,19.1,28830
Henry County,TN,23.8,24124
Henry County,VA,24.5,22372
Herkimer County,NY,21.2,27850
Hernando County,FL,27.5,25860
Hertford County,NC,20.4,20119
Hettinger County,ND,22,34181
Hickman County,KY,26.4,28114
Hickman County,TN,17.9,22856
Hickory County,MO,33.3,20736
Hidalgo County,NM,22.5,22009
Hidalgo County,TX,11.3,17175
Highland County,OH,18.9,23543
Highland County,VA,35.5,31485
Highlands County,FL,36,25752
Hill County,MT,15.3,23589
Hill County,TX,21,26370
Hillsborough County,FL,14.5,32343
Hillsborough County,NH,16.2,40955
Hillsdale County,MI,20.2,25621
Hinds County,MS,14.8,23734
Hinsdale County,CO,31.5,33570
Hitchcock County,NE,26.5,30037
Hocking County,OH,19.5,25588
Hockley County,TX,15,23604
Hodgeman County,KS,24.4,30044
Hoke County,NC,10.6,20991
Holmes County,FL,20,19201
Holmes County,MS,15.7,15291
Holmes County,OH,14,23404
Holt County,MO,26.2,27520
Holt County,NE,22,31785
Honolulu County,HI,18.2,36816
Hood County,TX,25,35606
Hood River County,OR,16.3,34926
Hooker County,NE,30.9,27714
Hoonah-Angoon Census Area,AK,24,36091
Hopewell city,VA,15.5,21927
Hopkins County,KY,19,25042
Hopkins County,TX,18.6,26821
Horry County,SC,25.1,28202
Hot Spring County,AR,19.3,21866
Hot Springs County,WY,27.7,30643
Houghton County,MI,17.9,23421
Houston County,AL,18.1,27097
Houston County,GA,13,29462
Houston County,MN,22,33032
Houston County,TN,20.8,22360
Houston County,TX,22.5,19129
Howard County,AR,18.1,24481
Howard County,IA,20.9,29032
Howard County,IN,19.9,28129
Howard County,MD,14.3,54628
Howard County,MO,19.7,23753
Howard County,NE,21.6,27489
Howard County,TX,13.1,24547
Howell County,MO,20.1,21048
Hubbard County,MN,25.2,29896
Hudson County,NJ,12.2,40740
Hudspeth County,TX,15.9,14239
Huerfano County,CO,32.1,25140
Hughes County,OK,19,20572
Hughes County,SD,18,33677
Humboldt County,CA,18.6,28769
Humboldt County,IA,22.1,30480
Humboldt County,NV,14.4,33362
Humphreys County,MS,17.7,18513
Humphreys County,TN,20.2,25428
Hunt County,TX,16,25926
Hunterdon County,NJ,19.4,57098
Huntingdon County,PA,21.4,25746
Huntington County,IN,17.5,26502
Huron County,MI,25.9,27852
Huron County,OH,17.6,26133
Hutchinson County,SD,22.9,28872
Hutchinson County,TX,17.1,24434
Hyde County,NC,22.6,18245
Hyde County,SD,25.1,34034
Iberia Parish,LA,15.7,23290
Iberville Parish,LA,16.4,23751
Ida County,IA,22,33789
Idaho County,ID,28.6,22672
Imperial County,CA,13.3,18018
Independence County,AR,18,23733
Indian River County,FL,33.8,36516
Indiana County,PA,20,26509
Ingham County,MI,13.9,29380
Inyo County,CA,23.4,32590
Ionia County,MI,15.2,24864
Iosco County,MI,30.1,25264
Iowa County,IA,19.3,33755
Iowa County,WI,19.5,34114
Iredell County,NC,16.2,33194
Irion County,TX,21.4,28487
Iron County,MI,31.2,25944
Iron County,MO,21.9,21499
Iron County,UT,12.9,22909
Iron County,WI,32.1,28857
Iroquois County,IL,22,27574
Irwin County,GA,18,19878
Isabella County,MI,13.2,23888
Isanti County,MN,16.6,34054
Island County,WA,25.2,37087
Isle of Wight County,VA,19.8,37126
Issaquena County,MS,16.7,16388
Itasca County,MN,24.1,30286
Itawamba County,MS,18,22806
Izard County,AR,26.1,21164
Jack County,TX,17,24956
Jackson County,AL,20.5,22596
Jackson County,AR,18.3,20295
Jackson County,CO,23.3,28199
Jackson County,FL,20.6,20019
Jackson County,GA,14.7,28915
Jackson County,IA,21.3,29660
Jackson County,IL,16.3,24804
Jackson County,IN,16.6,25840
Jackson County,KS,19.4,28127
Jackson County,KY,18.1,18560
Jackson County,MI,18.3,28364
Jackson County,MN,23.1,34325
Jackson County,MO,15.4,31480
Jackson County,MS,16.3,27141
Jackson County,NC,19.9,25347
Jackson County,OH,17.6,23254
Jackson County,OK,15.2,25555
Jackson County,OR,22.6,30250
Jackson County,SD,13.5,13528
Jackson County,TN,22.9,21037
Jackson County,TX,18.4,27051
Jackson County,WI,19.3,26481
Jackson County,WV,20.9,25341
Jackson Parish,LA,20.6,21594
James City County,VA,25.8,44495
Jasper County,GA,17.7,22814
Jasper County,IA,19.5,28604
Jasper County,IL,19.8,25849
Jasper County,IN,18.1,28240
Jasper County,MO,16,24484
Jasper County,MS,20.7,22523
Jasper County,SC,20.1,24566
Jasper County,TX,20.2,25269
Jay County,IN,18.5,23443
Jeff Davis County,GA,16.1,17833
Jeff Davis County,TX,35.7,26531
Jefferson County,AL,16.3,32098
Jefferson County,AR,18,21472
Jefferson County,CO,16.9,44119
Jefferson County,FL,24.6,24510
Jefferson County,GA,18.9,19259
Jefferson County,IA,23.7,28611
Jefferson County,ID,11.6,24677
Jefferson County,IL,19.5,26466
Jefferson County,IN,18.4,27152
Jefferson County,KS,18.9,30655
Jefferson County,KY,16.7,33251
Jefferson County,MO,15.5,29999
Jefferson County,MS,17.4,14659
Jefferson County,MT,22.2,32773
Jefferson County,NE,24.5,27461
Jefferson County,NY,14.2,26194
Jefferson County,OH,22.1,26391
Jefferson County,OK,21.5,24313
Jefferson County,OR,19.8,23987
Jefferson County,PA,21.5,25509
Jefferson County,TN,20.4,25159
Jefferson County,TX,14.9,27094
Jefferson County,WA,37.9,36598
Jefferson County,WI,17.7,31992
Jefferson County,WV,16.7,36305
Jefferson Davis County,MS,23.1,20638
Jefferson Davis Parish,LA,16.7,25474
Jefferson Parish,LA,17.7,30374
Jenkins County,GA,17.4,15531
Jennings County,IN,16.9,26017
Jerauld County,SD,27.2,42660
Jerome County,ID,13.2,21461
Jersey County,IL,19.8,30182
Jessamine County,KY,15.5,31146
Jewell County,KS,30.3,27731
Jim Hogg County,TX,17.1,16864
Jim Wells County,TX,15.7,21510
Jo Daviess County,IL,28.8,34437
Johnson County,AR,16.9,21010
Johnson County,GA,18.6,21087
Johnson County,IA,12.3,35108
Johnson County,IL,21.9,23140
Johnson County,IN,14.8,34408
Johnson County,KS,15,46517
Johnson County,KY,18.7,21974
Johnson County,MO,12.9,25380
Johnson County,NE,19,24072
Johnson County,TN,23.3,22107
Johnson County,TX,14.3,28579
Johnson County,WY,24.6,36084
Johnston County,NC,13.6,27924
Johnston County,OK,19.8,21197
Jones County,GA,18.3,25854
Jones County,IA,21.2,29453
Jones County,MS,17.4,23163
Jones County,NC,24,21928
Jones County,SD,23.8,27139
Jones County,TX,15.9,18081
Josephine County,OR,26.4,25167
Juab County,UT,11.9,22830
Judith Basin County,MT,27.5,28811
Juneau City and Borough,AK,14,43680
Juneau County,WI,20.8,27889
Juniata County,PA,20.6,26239
Kalamazoo County,MI,15.4,31975
Kalawao County,HI,45.3,49118
Kalkaska County,MI,20.7,24358
Kanabec County,MN,20.9,28427
Kanawha County,WV,21.2,29253
Kandiyohi County,MN,19.1,31039
Kane County,IL,14.3,36270
Kane County,UT,23.4,26070
Kankakee County,IL,17.3,27984
Karnes County,TX,14.2,27612
Kauai County,HI,20.7,33143
Kaufman County,TX,11.8,28634
Kay County,OK,19.5,26189
Kearney County,NE,19.8,31094
Kearny County,KS,16.5,23415
Keith County,NE,27.1,29823
Kemper County,MS,20.9,16995
Kenai Peninsula Borough,AK,18.4,34226
Kendall County,IL,10.7,36382
Kendall County,TX,19.3,45866
Kenedy County,TX,16.8,15211
Kennebec County,ME,20.6,30685
Kenosha County,WI,14.6,32298
Kent County,DE,17.5,28845
Kent County,MD,27.1,36813
Kent County,MI,14.1,32524
Kent County,RI,19.4,39869
Kent County,TX,26.4,30543
Kenton County,KY,14.9,33330
Keokuk County,IA,22,29957
Kern County,CA,11.2,23326
Kerr County,TX,28.1,32988
Kershaw County,SC,18.7,25442
Ketchikan Gateway Borough,AK,16.5,37590
Kewaunee County,WI,20.9,30921
Keweenaw County,MI,38.1,34608
Keya Paha County,NE,32.6,28853
Kidder County,ND,25.4,31000
Kimball County,NE,24.9,27478
Kimble County,TX,29.7,30099
King County,TX,18.8,26199
King County,WA,13.5,52462
King George County,VA,13.4,38739
King William County,VA,16.3,30704
King and Queen County,VA,23.6,31174
Kingfisher County,OK,16.4,31724
Kingman County,KS,21.6,34578
Kings County,CA,10.5,22373
Kings County,NY,14.4,34173
Kingsbury County,SD,23.5,35773
Kinney County,TX,24.8,23934
Kiowa County,CO,23,25937
Kiowa County,KS,22.7,26321
Kiowa County,OK,19.7,21482
Kit Carson County,CO,19.5,27797
Kitsap County,WA,18.4,37493
Kittitas County,WA,16.8,29161
Kittson County,MN,24.9,30539
Klamath County,OR,21.7,25880
Kleberg County,TX,13.2,22646
Klickitat County,WA,24.5,29521
Knott County,KY,19.1,18475
Knox County,IL,21.9,24545
Knox County,IN,18.4,26041
Knox County,KY,17.7,17832
Knox County,ME,26,33126
Knox County,MO,22.2,22326
Knox County,NE,25.4,28409
Knox County,OH,18.6,26390
Knox County,TN,16.2,33229
Knox County,TX,20.1,23146
Kodiak Island Borough,AK,11.4,32876
Koochiching County,MN,26.7,29834
Kootenai County,ID,19.4,29948
Kosciusko County,IN,17.3,29786
Kossuth County,IA,24.4,31225
La Crosse County,WI,16.9,32565
La Paz County,AZ,39.8,22879
La Plata County,CO,18.2,39493
La Salle County,TX,13.5,21110
LaGrange County,IN,13.9,24549
LaMoure County,ND,27.5,37220
LaPorte County,IN,18.5,27264
LaSalle County,IL,19.4,30277
La Salle Parish,LA,17.2,21654
Labette County,KS,19.5,24572
Lac qui Parle County,MN,27.9,32437
Lackawanna County,PA,20.3,29899
Laclede County,MO,17.8,23051
Lafayette County,AR,24.7,25876
Lafayette County,FL,17.3,20776
Lafayette County,MO,18.9,29565
Lafayette County,MS,13.3,27765
Lafayette County,WI,19.4,28448
Lafayette Parish,LA,13.8,31892
Lafourche Parish,LA,16,28683
Lake County,CA,23.1,27362
Lake County,CO,14.6,29122
Lake County,FL,27.1,28348
Lake County,IL,14.8,45766
Lake County,IN,16.9,28923
Lake County,MI,29.8,20461
Lake County,MN,26.8,34207
Lake County,MT,22.7,25388
Lake County,OH,20.6,34409
Lake County,OR,25.5,24241
Lake County,SD,23.7,33728
Lake County,TN,16.7,15732
Lake and Peninsula Borough,AK,11.5,24836
Lake of the Woods County,MN,25.4,25640
Lamar County,AL,22.2,22636
Lamar County,GA,17.4,22413
Lamar County,MS,14.4,30062
Lamar County,TX,19.5,25038
Lamb County,TX,17.4,22337
Lamoille County,VT,17.9,36747
Lampasas County,TX,20.2,29412
Lancaster County,NE,14.4,32378
Lancaster County,PA,18.4,32194
Lancaster County,SC,21.4,30742
Lancaster County,VA,36.7,40062
Lander County,NV,16,34000
Lane County,KS,23.5,28435
Lane County,OR,19.9,29705
Langlade County,WI,24.7,27618
Lanier County,GA,14.1,19207
Lapeer County,MI,18.9,30344
Laramie County,WY,16.5,35190
Larimer County,CO,16.2,37363
Larue County,KY,17.9,24803
Las Animas County,CO,25.4,25813
Lassen County,CA,15.5,22134
Latah County,ID,14.1,27011
Latimer County,OK,22.1,25240
Lauderdale County,AL,20.5,28033
Lauderdale County,MS,17.8,24698
Lauderdale County,TN,16.3,18515
Laurel County,KY,16.7,22398
Laurens County,GA,18.1,21665
Laurens County,SC,18.8,23004
Lavaca County,TX,23.7,32188
Lawrence County,AL,19.1,23450
Lawrence County,AR,19.9,21473
Lawrence County,IL,17.9,23613
Lawrence County,IN,20.6,26603
Lawrence County,KY,18,18124
Lawrence County,MO,18.4,22957
Lawrence County,MS,18.2,22980
Lawrence County,OH,19.1,24562
Lawrence County,PA,22.5,28926
Lawrence County,SD,22.9,31712
Lawrence County,TN,17.9,21720
Le Flore County,OK,18.3,20902
Le Sueur County,MN,17.7,33311
Lea County,NM,11.4,25585
Leake County,MS,16.7,19893
Leavenworth County,KS,15,32444
Lebanon County,PA,19.9,29130
Lee County,AL,12.4,27860
Lee County,AR,20.2,16968
Lee County,FL,29.2,33543
Lee County,GA,13,29348
Lee County,IA,21,26710
Lee County,IL,20.2,29984
Lee County,KY,17.2,17386
Lee County,MS,15.2,26369
Lee County,NC,16.8,24842
Lee County,SC,19.7,19300
Lee County,TX,18.7,27227
Lee County,VA,22.2,19720
Leelanau County,MI,32,39073
Leflore County,MS,14.7,18419
Lehigh County,PA,17.1,33566
Lemhi County,ID,30.6,25075
Lenawee County,MI,19.4,27850
Lenoir County,NC,20.2,23865
Leon County,FL,13.9,30586
Leon County,TX,24.9,30129
Leslie County,KY,18.7,15838
Letcher County,KY,19.9,20641
Levy County,FL,25.1,21579
Lewis County,ID,26.9,24094
Lewis County,KY,18.5,19860
Lewis County,MO,18.8,22739
Lewis County,NY,19,26708
Lewis County,TN,21.3,21516
Lewis County,WA,21.3,27127
Lewis County,WV,21.1,23820
Lewis and Clark County,MT,19.4,34504
Lexington County,SC,16.2,31671
Lexington city,VA,15.6,19047
Liberty County,FL,15,17872
Liberty County,GA,9.6,22811
Liberty County,MT,22.1,43320
Liberty County,TX,12.9,23461
Licking County,OH,16.8,31617
Limestone County,AL,15.2,28411
Limestone County,TX,19.9,22595
Lincoln County,AR,15.9,14764
Lincoln County,CO,17.6,16753
Lincoln County,GA,24.5,26918
Lincoln County,ID,14.1,21656
Lincoln County,KS,25.4,25803
Lincoln County,KY,18.8,21480
Lincoln County,ME,28.2,33595
Lincoln County,MN,25.1,30253
Lincoln County,MO,13.7,26848
Lincoln County,MS,17.5,23541
Lincoln County,MT,29.5,25081
Lincoln County,NC,17.9,31771
Lincoln County,NE,20.1,31567
Lincoln County,NM,29.2,27454
Lincoln County,NV,25.3,26432
Lincoln County,OK,18.6,25255
Lincoln County,OR,29.3,27861
Lincoln County,SD,13.4,40059
Lincoln County,TN,19.7,26965
Lincoln County,WA,25.9,28891
Lincoln County,WI,22.2,30972
Lincoln County,WV,20,21456
Lincoln County,WY,18,29747
Lincoln Parish,LA,14,22863
Linn County,IA,16.3,34545
Linn County,KS,23.1,27926
Linn County,MO,21.4,25130
Linn County,OR,19.1,27345
Lipscomb County,TX,19.1,28131
Litchfield County,CT,22,44480
Little River County,AR,20.9,25759
Live Oak County,TX,20.8,25370
Livingston County,IL,19.4,27925
Livingston County,KY,22.5,27728
Livingston County,MI,17.9,40351
Livingston County,MO,19.5,23587
Livingston County,NY,18.3,28701
Livingston Parish,LA,13.3,29354
Llano County,TX,37.3,37050
Logan County,AR,20.5,21491
Logan County,CO,18.1,26727
Logan County,IL,18.6,27546
Logan County,KS,21.2,28135
Logan County,KY,18.6,24221
Logan County,ND,26.6,32619
Logan County,NE,22.6,24355
Logan County,OH,18.7,29424
Logan County,OK,16.4,31105
Logan County,WV,21.1,21936
Long County,GA,10.2,22639
Lonoke County,AR,13.8,27293
Lorain County,OH,18.8,30928
Los Alamos County,NM,18.1,60746
Los Angeles County,CA,14.1,34156
Loudon County,TN,26.9,31478
Loudoun County,VA,9.7,55744
Louisa County,IA,19.4,29021
Louisa County,VA,20.3,34041
Loup County,NE,26.2,27726
Love County,OK,19.6,22036
Loving County,TX,13.6,33624
Lowndes County,AL,19.8,20209
Lowndes County,GA,12.6,23348
Lowndes County,MS,16.3,26438
Lubbock County,TX,12.7,27922
Lucas County,IA,22.4,31069
Lucas County,OH,16.7,29226
Luce County,MI,21.1,22350
Lumpkin County,GA,17.8,27155
Luna County,NM,21.2,17168
Lunenburg County,VA,22.7,19848
Luzerne County,PA,20.2,28972
Lycoming County,PA,19.8,27950
Lyman County,SD,16.2,22850
Lynchburg city,VA,14.1,23863
Lynn County,TX,16.4,24917
Lyon County,IA,18.4,29124
Lyon County,KS,15.6,26904
Lyon County,KY,26,26994
Lyon County,MN,16.5,29634
